task_id,source,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
3164,aapp_competition_test,0,4105,1765,1284,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3164\3164_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536591-jxvos62sjtz0aPhOyA30
3434,aapp_competition_test,0,4368,2255,1420,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3434\3434_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536591-LCcsNR6586ajaQhQkFRG
3340,aapp_competition_test,0,5640,2563,606,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3340\3340_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536591-aYya8FqWuPfZY2dI0yNN
604,mbpp_train,0,3805,2519,1277,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_train\604\604_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536591-xMmrrVqlvUQtupmjmSuQ
3863,aapp_competition_test,0,5162,2724,826,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3863\3863_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536591-AY60Q1pSOMAjvGYgRf5b
3016,aapp_competition_test,0,5177,2758,1200,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3016\3016_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536591-7UVlIuN1fQQX3P1tZdVx
3202,aapp_competition_test,0,5165,2563,789,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3202\3202_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536591-NWNPFgwWl1DEdu1Zi1np
119,mbpp_test,0,4264,1384,713,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\mbpp_test\119\119_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536659-RXGCVBePCljZQtMUolhM
3543,aapp_competition_test,0,5148,2330,800,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3543\3543_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536647-Dt4JQNXipX8ndnwchF8U
3958,aapp_competition_test,0,4812,1971,600,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3958\3958_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536659-tuF2CpMeBppALN1LTVDY
3115,aapp_competition_test,0,4733,1989,937,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3115\3115_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536663-CRAIzUgZQgoyjcZuchnC
3345,aapp_competition_test,0,4379,1622,974,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3345\3345_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536708-56EYHor4QUCNVMbmxB1m
3161,aapp_competition_test,0,4249,1517,792,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3161\3161_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536701-90IGghTE9XVIVv48WEZL
3213,aapp_competition_test,0,5018,2039,781,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3213\3213_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536703-QpnUO5cVwNFVx2HBTs6Z
3484,aapp_competition_test,0,6012,4471,1069,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3484\3484_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536642-GvNAtCV0R0AajXaJEOwU
3683,aapp_competition_test,0,4122,4408,1079,C:\Users\durgamaniryudh\Desktop\Learn\testing_evals\test\aapp_competition_test\3683\3683_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1768536657-pEntppWth1pDprlIpmM3
