Category,Problem,Has_SV,Has_TB,Has_VVP,Has_XML,Compilation,Verification,Overall,Tests,Pass,Fail,Skip
aapp_competition_test,3000,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3001,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3004,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3005,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3007,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3008,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3009,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3010,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3011,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3013,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3015,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3016,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3017,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3018,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3019,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3021,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3022,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3023,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3024,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3025,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3026,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3027,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3028,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3029,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3030,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3031,True,True,True,True,pass,fail,verification_failed,2,0,2,0
aapp_competition_test,3032,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3035,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3036,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3037,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3038,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3039,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3040,True,True,True,True,pass,fail,verification_failed,1,0,1,0
aapp_competition_test,3041,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3042,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3043,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3044,True,True,False,False,fail,fail,compilation_failed,0,0,0,0
aapp_competition_test,3045,True,True,True,True,pass,fail,verification_failed,1,0,1,0
