problem,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
Prob132_always_if2,1,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_1.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571758-36IMzqKrLDHkbos6ZbsQ
Prob132_always_if2,0,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_0.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571754-ldiGlZS5egwUd85jPH48
Prob132_always_if2,2,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_2.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571762-PfPCL6R2EZICIllZXi7s
Prob132_always_if2,3,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_3.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571766-yBvPIg5Akme2lGEfe26J
Prob132_always_if2,5,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_5.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571775-w8bxgOkruhnjdGywx2v5
Prob132_always_if2,4,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_4.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571771-J1l9UKGgfN2SvuR7GcZU
Prob132_always_if2,6,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_6.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571779-ZkfPmQ4w4u4q8j0ajLZa
Prob132_always_if2,7,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_7.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571783-GhGVpT3QvMiZ3vBR0Sn8
Prob132_always_if2,8,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_8.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571787-IPsO8NnpINT31FJZ3slc
Prob132_always_if2,9,417,171,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob132_always_if2\Prob132_always_if2_gen_9.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571792-sUCzKd2LnTXFnDfozXYI
Prob002_m2014_q4i,0,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_0.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571796-7j54B3k5b2ednhsbb6lb
Prob002_m2014_q4i,1,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_1.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571799-J88cJ11REnH1XAb9RTMO
Prob002_m2014_q4i,4,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_4.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571807-mlyHKyfbMl2yVmUaFL1T
Prob002_m2014_q4i,3,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_3.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571805-GIyj5DBNdzfEXbRNaeER
Prob002_m2014_q4i,2,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_2.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571802-8f0G7d5TWRdVfK61wWAF
Prob002_m2014_q4i,5,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_5.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571811-vp1BGICj4r64Bmt83Blu
Prob002_m2014_q4i,6,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_6.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571813-oZovVEox9VFNAit2U4DQ
Prob002_m2014_q4i,8,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_8.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571819-CWkqMDKRC8sa7icqazAl
Prob002_m2014_q4i,7,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_7.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571817-B0TxwAg6kQt4ntDpf8co
Prob002_m2014_q4i,9,313,36,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl_deepseek\test\Prob002_m2014_q4i\Prob002_m2014_q4i_gen_9.sv,anthropic/claude-sonnet-4.5,stop,,gen-1760571823-RbxUDGbRNQlTlFQKJYyG
