task_id,source,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
3572,aapp_competition_test,0,626,4979,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3572\3572_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577999-z0V667HyWq3A9x1bShqw
3242,aapp_competition_test,0,527,5703,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3242\3242_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577999-5MjWJVgZjGpNAumgQIgh
3996,aapp_competition_test,0,688,6210,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3996\3996_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577999-hCU42bWh1jOrCfSdoRHf
3153,aapp_competition_test,0,624,9215,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3153\3153_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577999-Qti1TbXN8vdrJsvvofcQ
3994,aapp_competition_test,0,639,9593,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3994\3994_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577999-4rIKPjdN4tdDsnnWy99o
3570,aapp_competition_test,0,712,10094,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3570\3570_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577999-a9a0qAwmoQFxmA17e3VI
3163,aapp_competition_test,0,565,6350,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3163\3163_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578182-20b7JaV3Q7ooMW0rDDq0
3246,aapp_competition_test,0,753,11283,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3246\3246_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577999-yb317iWHjONOoaCojRzZ
3568,aapp_competition_test,0,769,10789,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3568\3568_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577999-97Ayqwq9st1oQT6N9Jcp
3170,aapp_competition_test,0,619,11207,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3170\3170_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577999-qsGIvkTwznWVSQIzMIOz
3248,aapp_competition_test,0,617,6576,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3248\3248_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578217-At5BVYNtI9NFFS804JXp
3575,aapp_competition_test,0,549,10650,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3575\3575_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578225-VrdFauJcWThL8cnW1H5C
3166,aapp_competition_test,0,621,7798,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3166\3166_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578358-HGsNz3ovWfYL53LpvqXt
3998,aapp_competition_test,0,742,9147,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3998\3998_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578330-kqOLYpR16bWBo8YK5Ftv
3254,aapp_competition_test,0,535,10198,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3254\3254_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578380-c4S0XkVXIwHDQ43DW4OQ
3255,aapp_competition_test,0,662,9777,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3255\3255_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578424-ONPcR3Awi4hjm2kvYjDR
3582,aapp_competition_test,0,549,11123,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3582\3582_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578383-o9pnMWI3cvW4k5e7ldRH
3107,aapp_competition_test,0,717,11198,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3107\3107_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578384-6G95vpFhtwZ1QDckcCnu
3264,aapp_competition_test,0,439,3555,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3264\3264_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578665-KlpHu5K1NJaYbvNK6kJa
3244,aapp_competition_test,0,508,1051,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3244\3244_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578778-QRh8mWbfbWnNVzwcTGGM
3997,aapp_competition_test,0,620,9710,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3997\3997_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578442-8fcOoIWGA81LBjk1HGWr
3581,aapp_competition_test,0,613,13074,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3581\3581_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578449-nf8gJaT0YKcmoeBDJSbt
3172,aapp_competition_test,0,613,13312,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3172\3172_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,,,gen-1762578413-dRBanFcZCudX43QZgfUt
3578,aapp_competition_test,0,680,9795,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3578\3578_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578749-cJw5F8u1iUry9vNY2RVQ
3590,aapp_competition_test,0,716,6881,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3590\3590_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578815-kc9Uj6D1m0lrD1Vj06jq
3178,aapp_competition_test,0,549,12514,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3178\3178_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578655-vjUTL3w1HAaCw6uD5aID
3112,aapp_competition_test,0,615,15188,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3112\3112_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578585-EzuQPMjTGNQy9v2eXUYq
3179,aapp_competition_test,0,527,8927,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3179\3179_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578836-YOe0pfDaVmXLajLAAKnO
3102,aapp_competition_test,0,579,11668,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3102\3102_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578770-dIukMHH23O09KlCGGB9i
3114,aapp_competition_test,0,531,12594,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3114\3114_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762578816-dP5cz3ibYLk2QqFjU8J9
3591,aapp_competition_test,0,720,8892,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3591\3591_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579018-OYdWsORmdKvus9BYKXa4
3261,aapp_competition_test,0,654,3652,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3261\3261_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579247-q9Q4xmtCsJcHZ1smhA5S
3183,aapp_competition_test,0,685,7772,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3183\3183_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579107-9hkwOFiFQetE9UcplyCb
3113,aapp_competition_test,0,695,9124,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3113\3113_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579156-a0lBFWmVmwvZW0HxnC0M
3188,aapp_competition_test,0,573,9001,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3188\3188_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579162-gFy93zj6PrPKp84dq20w
3259,aapp_competition_test,0,704,9781,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3259\3259_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579131-Cx0lj8FfBpEAE1dHC82v
3181,aapp_competition_test,0,492,2638,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3181\3181_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579343-u2A7Jghvom6wJx7JaX4I
3119,aapp_competition_test,0,715,5897,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3119\3119_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579329-6V24cbz2wBjsTwKxT5PG
3266,aapp_competition_test,0,544,5349,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3266\3266_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579364-EVpCDDbS9oy1wwCjBG81
3117,aapp_competition_test,0,533,13779,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3117\3117_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579105-wPUzwaCGAZLuZT0kFHB6
3592,aapp_competition_test,0,696,6062,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3592\3592_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579367-Aq5fkMe3afXSZOJNzBL4
3263,aapp_competition_test,0,659,13143,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3263\3263_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762579151-OyPlYjOJU3tkndwJqCcN
