problem,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
Prob132_always_if2,2,1042,1679,1540,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_2.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392479-IfCOUAVmvRIqeGsdJ2SJ
Prob132_always_if2,0,1042,2181,2036,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_0.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392369-3x51yxoFskaBqP1TOS42
Prob132_always_if2,1,1042,2044,1905,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_1.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392422-UbGrIOLPv3yPVoxHLErT
Prob132_always_if2,3,1042,1773,1634,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_3.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392519-SX9AKOOnAaUrvq64mhZS
Prob132_always_if2,6,1042,2020,1881,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_6.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392709-PyEuIFW7qU97lljgKHW0
Prob132_always_if2,5,1042,3135,2987,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_5.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392633-QA9vHyR2QYwhqGHZxnfs
Prob132_always_if2,4,1042,2561,2422,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_4.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392563-vBqIUUVjjzf8iBzoA3qF
Prob132_always_if2,7,1042,1299,1160,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_7.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392763-lc3qlGECnzy3du2UgVxw
Prob132_always_if2,8,1042,1323,1178,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_8.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392797-xGYttQCqr4qLHxR1DQfD
Prob132_always_if2,9,1042,1211,1072,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob132_always_if2\Prob132_always_if2_gen_9.sv,x-ai/grok-4,stop,fp_19e21a36c0,gen-1760392855-nsyrvDFAC3aJITqzQjFt
