task_id,source,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
435,mbpp_test,0,350,525,528,D:\PythonProjects\llm_eval\test\mbpp_test\435\435_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662327-0XRZQWgEsmeOF2Wu7VtE
3925,aapp_competition_test,0,623,3577,1349,D:\PythonProjects\llm_eval\test\aapp_competition_test\3925\3925_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662327-kY4NId62sg2V616A3jtY
3862,aapp_competition_test,0,634,3272,1368,D:\PythonProjects\llm_eval\test\aapp_competition_test\3862\3862_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662327-b0DiG59hdb7i97DgX7lO
3113,aapp_competition_test,0,715,4500,1130,D:\PythonProjects\llm_eval\test\aapp_competition_test\3113\3113_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662327-bn6v99qakRDLknptmk5U
3735,aapp_competition_test,0,551,7594,7280,D:\PythonProjects\llm_eval\test\aapp_competition_test\3735\3735_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662327-fJjqGtbojD8zYhnzkNjK
3475,aapp_competition_test,0,748,3067,1352,D:\PythonProjects\llm_eval\test\aapp_competition_test\3475\3475_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662377-SpOsXqUngIcU5vGcZUy2
308,mbpp_test,0,568,2320,1076,D:\PythonProjects\llm_eval\test\mbpp_test\308\308_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662391-3UUGf370U2BnneV2oy3o
3664,aapp_competition_test,0,720,2780,1093,D:\PythonProjects\llm_eval\test\aapp_competition_test\3664\3664_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662327-m15NXZ3mTVQrUe37OyJv
3037,aapp_competition_test,0,779,4444,1231,D:\PythonProjects\llm_eval\test\aapp_competition_test\3037\3037_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662327-LRiCaNf233fPFBcFjjPc
475,mbpp_test,0,533,12152,11096,D:\PythonProjects\llm_eval\test\mbpp_test\475\475_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662327-EF16ZVgLXC1rp4i05Lwq
3342,aapp_competition_test,0,790,7898,1529,D:\PythonProjects\llm_eval\test\aapp_competition_test\3342\3342_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662336-7FaRfLyAVrKYHhAJ26Cd
3518,aapp_competition_test,0,680,3460,1450,D:\PythonProjects\llm_eval\test\aapp_competition_test\3518\3518_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662411-2PKkiAxvVSS4syrE9etT
797,mbpp_train,0,433,9865,9844,D:\PythonProjects\llm_eval\test\mbpp_train\797\797_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662378-TSNSY7fg5nesFjnSSMqo
3049,aapp_competition_test,0,730,3992,1447,D:\PythonProjects\llm_eval\test\aapp_competition_test\3049\3049_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662400-UQECWHvcLFeaEzB0TUz3
3756,aapp_competition_test,0,635,5021,1781,D:\PythonProjects\llm_eval\test\aapp_competition_test\3756\3756_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662427-zWmTbJU29BL50e4v67Eg
82,mbpp_test,0,483,1193,795,D:\PythonProjects\llm_eval\test\mbpp_test\82\82_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662484-iULeNNHjoX0SZX7zjHgm
3863,aapp_competition_test,0,669,4032,1581,D:\PythonProjects\llm_eval\test\aapp_competition_test\3863\3863_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662444-5qKTJ1xduTtGxRk0Ol3W
3188,aapp_competition_test,0,600,18942,17568,D:\PythonProjects\llm_eval\test\aapp_competition_test\3188\3188_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662327-QHjpbeIfhpS8LoUPWxWh
3944,aapp_competition_test,0,647,5354,996,D:\PythonProjects\llm_eval\test\aapp_competition_test\3944\3944_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662450-ufzBq43XMOvosq2LDbrm
3345,aapp_competition_test,0,710,4423,1491,D:\PythonProjects\llm_eval\test\aapp_competition_test\3345\3345_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662471-lgx4EvkHpOuAIMDsEvis
3663,aapp_competition_test,0,656,11352,10561,D:\PythonProjects\llm_eval\test\aapp_competition_test\3663\3663_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662426-jfnPfg0NWY53gGpl7qAo
3520,aapp_competition_test,0,710,3817,1437,D:\PythonProjects\llm_eval\test\aapp_competition_test\3520\3520_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662508-78Ai83m01pyRnmWD56yh
3667,aapp_competition_test,0,738,5456,1455,D:\PythonProjects\llm_eval\test\aapp_competition_test\3667\3667_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662527-2X2nbmGwu4quUA9MOp9F
3181,aapp_competition_test,0,520,14658,14293,D:\PythonProjects\llm_eval\test\aapp_competition_test\3181\3181_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662465-tt584fDnQMXobXdSAJft
3945,aapp_competition_test,0,625,4416,1469,D:\PythonProjects\llm_eval\test\aapp_competition_test\3945\3945_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662560-OBJkIc2A8kiLZe1lCWeg
3053,aapp_competition_test,0,629,14020,2635,D:\PythonProjects\llm_eval\test\aapp_competition_test\3053\3053_gen_0.sv,minimax/minimax-m2:free,stop,,gen-1762662503-MMn8WKgxcL4m1y4XzwdR
