task_id,source,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
3039,aapp_competition_test,0,430,3140,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3039\3039_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-VwJdQl4epDJG7pKYcIP7
3042,aapp_competition_test,0,626,4666,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3042\3042_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-a6NrW5JuQlLc2SAI1MrQ
3053,aapp_competition_test,0,601,6895,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3053\3053_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-YA5vkt8wVUTNaca4BJ2f
3035,aapp_competition_test,0,715,8467,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3035\3035_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-AvKtFttSA9MBOp9aMRKH
3050,aapp_competition_test,0,788,9966,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3050\3050_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-IsSWS7m5eUosMDliPH60
3037,aapp_competition_test,0,764,10434,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3037\3037_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-4WjBAbdvd3o8ycI5Xvbp
3049,aapp_competition_test,0,703,10682,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3049\3049_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-3yAvlEWMU0MgmRegyTHE
3045,aapp_competition_test,0,685,10975,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3045\3045_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-sOVczwfXmhgv3ErtCHkN
3029,aapp_competition_test,0,674,12121,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3029\3029_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-Rd68rqkZOsljHtoOzpWC
3047,aapp_competition_test,0,646,12046,0,D:\PythonProjects\llm_eval\test\aapp_competition_test\3047\3047_gen_0.sv,tngtech/deepseek-r1t2-chimera:free,stop,,gen-1762577410-WAXR21mqiTS95NDS9re0
